Brand,Model ,Price,Screen Size (inch),Display,Touch Screen,Convertible,CPU,CPU Rating,Storage,Storage Rating,Graphics,Graphics Rating,Audio,Battery,Software,Software Rating,Colour,Weight (kg),Warranty,Hyperlink,
Lenovo,ThinkPad N22,219.99,11.6,HD 1366x768 resolution LCD display widescreen support anti-reflective,FALSE,FALSE,1.6 GHz Intel Celeron N3050 Dual-Core,2,4 GB LPDDR3 RAM 1600 MH  32 GB eMMC ,3,Intel HD graphics shared system memory integrated card,4,Built-in microphone and speakers,2,Windows 10 Home,5,Black,1.22,1,http://www.newegg.ca/Product/Product.aspx?Item=1TS-000E-05701,
HP,Stream,249.97,13.3,HD  Native Screen Resolution 1366 x 768  LED-backlit display,FALSE,FALSE,1.6GHz Intel Celeron N3050,2,2GB DDR3L SDRAM  built-in memory card reader  32GB eMMC storage,2,Intel HD graphics 1001MB total graphics memory,4,DTS Sound+ with dual speakers  integrated microphone and input  hardware volume control,2,Windows 10 Home  HP Support Assistan  HP Recovery Manager  Office 365 Personal,5,Blue,2.19,1,http://www.bestbuy.ca/en-CA/product/hp-hp-stream-13-3-laptop-blue-intel-celeron-n3050-32gb-hdd-2gb-ram-windows-10-13-c110ca/10394204.aspx?path=12b9b04cab701a1286624daa71b4fa1fen02,
Acer,Aspire ES 15 Series,249.97,15.6,HD CineCrystal LED-backlit LCD display  16:9 aspect ratio ,FALSE,FALSE,2.16 GHz Intel Celeron N2840 dual-core ,5,2GB DDR3 RAM 1066 MHz 320GB hard drive 5400 rpm built-in 2-in-1 rard reader,2,Intel HD Graphics,4,2 W speakers  Integrated Microphone,2,Windows 8.1  Acer’s Build Your Own Cloud (BYOC) ,8,Black,2.4,1,http://www.bestbuy.ca/en-CA/product/acer-acer-aspire-es-15-6-laptop-black-intel-celeron-2840-320gb-hdd-2gb-ram-windows-8-1-es1-512-c4gl/10414984.aspx?path=0f3f9112a106d1e4fc4a01286dc559caen02,
Lenovo,Ideapad 110,349.98,15.6,HD  1366 x 768 resolution  16:9 aspect ratio ,FALSE,FALSE,1.6GHz Intel Celeron N3060 dual core,3,4 GB DDR3L RAM  500GB hard drive 5400rpm DVD-Writer,3,Intel HD Graphics 4000,5,Integrated Microphone input,2,Windows 10 Home,5,Black,2.2,1,http://www.ncix.com/detail/lenovo-ideapad-110-15-6in-celeron-2d-134152.htm,
HP,15-af110ca Notebook PC,399.99,15.6,LED HD  1366 x 768 resolution ,FALSE,FALSE,1.4GHz AMD E1-6015 APU dual-core,3,4 GB DDR3L RAM   500GB hard drive 5400rpm DVD Super Multi Burner  Media SD Reader,3,Integrated AMD Radeon R2 Graphics,3,DTS Studio Sound  Dual Speakers  Integrated Microphone,2,Windows 10 Home 64-bit,5,Black,2.15,1,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=9875110&CatId=4935,
Asus,VivoBook X540SA,419.99,15.6,HD  Native Screen Resolution 1366 x 768  LED-backlit display,FALSE,FALSE,1.6 GHz Intel Pentium N3700 4 core,4,4GB DDR3L SDRAM 1600MHz  500GB harddrive 5400rpm 8X Dual Layer DVD+/-RW  Built-in Memory Card Reader,3,Intel HD graphics integrated video memory configuration,4,Integrated Microphone and input,2,Windows 10 64-Bit,5,Silver,1.9,1,http://www.bestbuy.ca/en-ca/product/asus-asus-vivobook-x540sa-15-6-laptop-silver-english-x540sa-bpd0602v/10482602.aspx?path=067450c4595e3f9ddbf1b536d7151d7een02,
Lenovo,ThinkPad N23,469.99,11.6,HD 1366x768 resolution LCD display widescreen support anti-reflective,FALSE,FALSE,1.7 GHz Intel Core i3-4005U(3 MB cache),6,4 GB DDR3L RAM  500GB hard drive 5400rpm  Media Card Reader,3,Intel HD Graphics 4400,6,Integrated Microphone and input,3,Windows 10 Professional,7,Black,2.13,1,http://www.staples.ca/en/Lenovo-Lenovo-B50-80LT00H6US-15-6-Notebook-1-7-GHz-Intel-Core-i3-4005U-500-GB-HDD-4-GB-DDR3L-Windows-10-Professional/product_2449083_2-CA_1_20001##specificationsContent,
Acer,Aspire ES 17 Series,479.98,17.3,HD  LED-backlit display native resolution1600 x 900 16:9 aspect ratio,FALSE,FALSE,1.8GHz AMD E2-7110 quad-core,6,4GB DDR3L RAM  500GB HDD  DVD-Writer  Built-in SD Memory Card Reader,3,integrated chipset  video memory configuration WiDi,4,Integrated Microphone and input  Digital Audio Output  Hardware Volume Control,3,Windows 10 Home 64-bit,5,Black,3,1,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-e5-17-3-laptop-amd-e2-7110-500gb-hdd-4gb-ram-windows-10-home-e5-722-23ab/10450961.aspx?path=fe8755b90d236dec4e25db981f697ce9en02,
Asus,Transformer 2in1 Notebook,489.99,11.6,IPS Technology  touchscreen  1366 x 768 resolution,TRUE,TRUE,1.60GHz Intel Celeron N3050  Dual-core,2,4GB DDR3L SDRAM 1600 MHz  64GB SSD Flash Memory Capacity,3,Intel HD Graphics,4,Stereo Speakers,2,Windows 10 Professional 64-Bit,7,Black,1.2,1,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=10017491&CatId=4935,
HP,255 G5,514.28,15.6,HD  SVA anti-glare slim LED-backlit display  1366 x 768 resolution,FALSE,FALSE,2GHz AMD A6-7310 Quad-Core,6,4GB DDR3L RAM  500GB HDD  DVD Super Multi Dual Layer Burner,3,AMD Radeon R4,4,DTS Studio Sound,3,Windows 10 Professional 64-Bit,7,Black,1.96,1,http://www.tigerdirect.ca/applications/SearchTools/item-details.asp?EdpNo=9983175&CatId=4935,
ASUS,Zenbook ( UX305CA-EHM1),725.00,13.3,1920 x 1080 pixels,FALSE,FALSE,Intel Core m3-6Y30  900 MHz  Dual-Core,3,16GB ,5,Intel HD Graphics 515,4,Bang & Olufsen ICEpower,2,Windows 10,5,Grey,2.39,1,https://www.amazon.com/ASUS-UX305-13-Inch-Laptop-model/dp/B01578SQFU,
Microsoft,Surface Pro 4 (SU3-00001),749.99,12.3,2736 x 1824 pixels,TRUE,TRUE,6th Gen Intel Core m3,3,4GB,3,Intel HD Graphics 515,4,Front facing audio  Stereo microphones  Stereo speakers with Dolby audio,5,Windows 10 Pro,7,Black,0.786,1,https://www.microsoftstore.com/store/msusa/en_US/pdp/productID.5072641000,
Acer, Aspire E 15 (E5-573G-7034),799.99,15.6,1920 x 1080 pixels,FALSE,FALSE,Intel Core i7 5500U  2.4 GHz  Dual Core,4,16GB,5,NVIDIA GeForce 940M,5,Acer TrueHarmony High-Performance Sound System,3,Windows 8.1 64-bit,8,White,2.4,1,http://www.bestbuy.ca/en-CA/product/acer-acer-aspire-e-series-15-6-laptop-black-iron-intel-core-i5-6200u-1tb-hdd-8gb-ram-windows-10-e5-575-54fx/10438051.aspx?path=525337765e686837c2c54d7bfc07bd08en02,
HP,Spectre x360 (13-4110DX),800.00,13.3,1920 x 1080 pixels,TRUE,TRUE,Intel Core i5-6200U with Intel HD Graphics 520 2.3 GHz  3 MB cache  Dual-Core,4,16GB,5,Intel HD Graphics 520,4,Bang & Olufsen with 2 speakers,5,Windows 10 Home,5,Black,1.36,1,http://store.hp.com/us/en/pdp/hp-spectre-x360---13-w063nr-x7v22ua-aba,
Lenovo,Thinkpad 13,818.10,13.3,1920 x 1080 pixels,FALSE,FALSE,Intel i5-6200U (3M Cache  up to 2.80 GHz),4,16GB,5,Intel Integrated Graphics,6,Quad speakers; Bang & Olufsen,2,Windows 10 Pro,7,Grey,1.42,0,http://shop.lenovo.com/us/en/laptops/thinkpad/13-series/13-windows/,
